model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
dccuchile/bert-base-spanish-wwm-cased,2026,1,0.64883388185287,0.8934240362811793,0.7372881355932204,0.3157894736842105
dccuchile/bert-base-spanish-wwm-cased,2026,2,0.6706762024492732,0.8832271762208068,0.744186046511628,0.3846153846153846
dccuchile/bert-base-spanish-wwm-cased,2026,3,0.6171887168968736,0.8758465011286682,0.7404255319148936,0.23529411764705882
dccuchile/bert-base-spanish-wwm-cased,2026,4,0.6839751839751839,0.9054054054054055,0.7619047619047618,0.3846153846153846
dccuchile/bert-base-spanish-wwm-cased,2026,5,0.6631120916835203,0.9009009009009009,0.7551020408163266,0.33333333333333337
dccuchile/bert-base-spanish-wwm-cased,2026,6,0.6110552483101502,0.8801742919389978,0.7307692307692308,0.2222222222222222
dccuchile/bert-base-spanish-wwm-cased,2026,7,0.6402854150301125,0.894736842105263,0.7761194029850745,0.25
dccuchile/bert-base-spanish-wwm-cased,2026,8,0.6280632274780432,0.8949771689497716,0.766990291262136,0.2222222222222222
dccuchile/bert-base-spanish-wwm-cased,2026,9,0.6839751839751839,0.9054054054054055,0.7619047619047618,0.3846153846153846
