model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
IIC/BETO_Galen,2026,1,0.36328502415458935,0.7565217391304349,0.3333333333333333,0.0
IIC/BETO_Galen,2026,2,0.47160312174638824,0.7792792792792793,0.4355300859598854,0.19999999999999998
IIC/BETO_Galen,2026,3,0.46398046398046394,0.7784679089026916,0.4596273291925466,0.15384615384615383
IIC/BETO_Galen,2026,4,0.4553952470700375,0.7937219730941704,0.4057971014492754,0.16666666666666666
IIC/BETO_Galen,2026,5,0.5156400689251915,0.8036117381489842,0.6037735849056604,0.13953488372093023
IIC/BETO_Galen,2026,6,0.5143475321162948,0.8047058823529412,0.6206896551724138,0.11764705882352941
IIC/BETO_Galen,2026,7,0.5122204718644287,0.7890818858560795,0.5809128630705395,0.16666666666666669
IIC/BETO_Galen,2026,8,0.5015384566482624,0.7772511848341231,0.5845070422535211,0.14285714285714285
IIC/BETO_Galen,2026,9,0.5531815791450679,0.8137931034482758,0.6235294117647059,0.2222222222222222
IIC/BETO_Galen,2026,10,0.5419457209064844,0.8177777777777778,0.6341463414634146,0.17391304347826086
IIC/BETO_Galen,2026,11,0.5769909258201662,0.8235294117647058,0.6407766990291262,0.26666666666666666
IIC/BETO_Galen,2026,12,0.5362406717546904,0.808411214953271,0.6464646464646465,0.15384615384615383
IIC/BETO_Galen,2026,13,0.5630054180818372,0.8209606986899564,0.6458333333333334,0.2222222222222222
IIC/BETO_Galen,2026,14,0.5451814458979416,0.8134831460674157,0.6481481481481481,0.17391304347826086
IIC/BETO_Galen,2026,15,0.5471017146234446,0.8179775280898876,0.6415094339622641,0.18181818181818185
IIC/BETO_Galen,2026,16,0.5769909258201662,0.8235294117647058,0.6407766990291262,0.26666666666666666
