model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
FacebookAI/xlm-roberta-large,42,1,0.6076258112219122,0.8836206896551725,0.7134502923976609,0.22580645161290322
FacebookAI/xlm-roberta-large,42,2,0.533372306327736,0.8656036446469249,0.7345132743362831,0.0
FacebookAI/xlm-roberta-large,42,3,0.5979455693314577,0.8733624454148473,0.7362637362637363,0.1842105263157895
FacebookAI/xlm-roberta-large,42,4,0.6309523809523809,0.8928571428571428,0.75,0.25
FacebookAI/xlm-roberta-large,42,5,0.6478890655361244,0.8828828828828829,0.7941176470588236,0.26666666666666666
FacebookAI/xlm-roberta-large,42,6,0.6276591994766199,0.8564814814814815,0.7537688442211055,0.27272727272727276
FacebookAI/xlm-roberta-large,42,7,0.6374804053154105,0.8693790149892934,0.7272727272727273,0.3157894736842105
FacebookAI/xlm-roberta-large,42,8,0.6121047242942811,0.8604651162790697,0.7358490566037735,0.24000000000000005
FacebookAI/xlm-roberta-large,42,9,0.6370443049014478,0.870748299319728,0.7403846153846154,0.3
FacebookAI/xlm-roberta-large,42,10,0.6478890655361244,0.8828828828828829,0.7941176470588236,0.26666666666666666
