model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
PlanTL-GOB-ES/bsc-bio-ehr-es,100,1,0.6818820462245633,0.8898876404494381,0.7853881278538815,0.3703703703703704
PlanTL-GOB-ES/bsc-bio-ehr-es,100,2,0.5744608488496019,0.8753056234718827,0.7230769230769232,0.125
PlanTL-GOB-ES/bsc-bio-ehr-es,100,3,0.671958365178149,0.8732394366197184,0.8093023255813953,0.3333333333333333
PlanTL-GOB-ES/bsc-bio-ehr-es,100,4,0.650613377405138,0.8848758465011286,0.7812499999999999,0.2857142857142857
PlanTL-GOB-ES/bsc-bio-ehr-es,100,5,0.686362730684933,0.9066059225512529,0.8191489361702128,0.33333333333333337
PlanTL-GOB-ES/bsc-bio-ehr-es,100,6,0.6943876047324323,0.8919540229885057,0.8102564102564104,0.380952380952381
PlanTL-GOB-ES/bsc-bio-ehr-es,100,7,0.6720566649865657,0.888382687927107,0.7641509433962264,0.3636363636363637
PlanTL-GOB-ES/bsc-bio-ehr-es,100,8,0.6723019392192325,0.8934240362811793,0.8076923076923077,0.3157894736842105
PlanTL-GOB-ES/bsc-bio-ehr-es,100,9,0.6801312181746964,0.9009009009009009,0.7916666666666666,0.34782608695652173
PlanTL-GOB-ES/bsc-bio-ehr-es,100,10,0.6548313321898228,0.8909090909090909,0.7735849056603774,0.3
PlanTL-GOB-ES/bsc-bio-ehr-es,100,11,0.6943876047324323,0.8919540229885057,0.8102564102564104,0.380952380952381
