model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,1,0.5987053743023238,0.8693586698337291,0.7449392712550607,0.18181818181818185
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,2,0.6591701832207136,0.8884120171673819,0.8113207547169812,0.2777777777777778
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,3,0.6619710619710618,0.8828828828828829,0.7999999999999998,0.30303030303030304
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,4,0.7060151320358794,0.8858447488584476,0.8155339805825242,0.4166666666666667
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,5,0.6405418719211823,0.9011494252873564,0.83,0.1904761904761905
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,6,0.6779701779701779,0.8888888888888888,0.7878787878787878,0.35714285714285715
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,7,0.6613608821836077,0.8929384965831435,0.8054298642533937,0.2857142857142857
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,8,0.6325004540336349,0.8970251716247138,0.8100000000000002,0.1904761904761905
PlanTL-GOB-ES/roberta-base-biomedical-clinical-es,2026,9,0.7060151320358794,0.8858447488584476,0.8155339805825242,0.4166666666666667
