model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,1,0.6025076459859068,0.85012285012285,0.7351778656126483,0.2222222222222222
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,2,0.6547742955435337,0.8893709327548807,0.7892376681614349,0.2857142857142857
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,3,0.6507689703861045,0.8949771689497716,0.7964601769911505,0.2608695652173913
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,4,0.6624120653246868,0.9054054054054055,0.796116504854369,0.28571428571428575
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,5,0.6704535673334379,0.89749430523918,0.798076923076923,0.3157894736842105
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,6,0.6542122268631257,0.8951965065502184,0.7817258883248731,0.28571428571428575
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,7,0.6905222744232032,0.8868778280542987,0.784688995215311,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,8,0.6898272073144739,0.8847926267281107,0.784688995215311,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,9,0.6995639361019584,0.9006622516556291,0.7980295566502463,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,10,0.6972972972972973,0.891891891891892,0.8,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,11,0.6876886274933002,0.8816705336426914,0.7813953488372093,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,12,0.68872932518844,0.8847926267281107,0.7813953488372093,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,13,0.68872932518844,0.8847926267281107,0.7813953488372093,0.4
PlanTL-GOB-ES/bsc-bio-ehr-es,2026,14,0.6995639361019584,0.9006622516556291,0.7980295566502463,0.4
