model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
BSC-LT/MrBERT-biomed,100,1,0.6337139192683828,0.8793103448275862,0.8453608247422681,0.1764705882352941
BSC-LT/MrBERT-biomed,100,2,0.5662889008814534,0.8823529411764706,0.8165137614678899,0.0
BSC-LT/MrBERT-biomed,100,3,0.6569306355991501,0.8973214285714286,0.8629441624365481,0.2105263157894737
BSC-LT/MrBERT-biomed,100,4,0.6614987639618182,0.8923076923076924,0.8163265306122448,0.2758620689655173
BSC-LT/MrBERT-biomed,100,5,0.6327748879473017,0.8904428904428904,0.8078817733990148,0.19999999999999998
BSC-LT/MrBERT-biomed,100,6,0.6867232571733549,0.8904109589041095,0.8061224489795918,0.3636363636363637
BSC-LT/MrBERT-biomed,100,7,0.6433590520804628,0.894736842105263,0.7853403141361256,0.25
BSC-LT/MrBERT-biomed,100,8,0.6495445050122989,0.8898876404494381,0.792079207920792,0.26666666666666666
BSC-LT/MrBERT-biomed,100,9,0.6530290939210509,0.8898678414096917,0.7835051546391752,0.28571428571428575
BSC-LT/MrBERT-biomed,100,10,0.6561867838779495,0.8997772828507796,0.783068783068783,0.28571428571428575
BSC-LT/MrBERT-biomed,100,11,0.6867232571733549,0.8904109589041095,0.8061224489795918,0.3636363636363637
