model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
dccuchile/bert-base-spanish-wwm-cased,100,1,0.6476084764255009,0.8845315904139434,0.7582938388625592,0.30000000000000004
dccuchile/bert-base-spanish-wwm-cased,100,2,0.5445039218536549,0.8287841191066997,0.6618705035971224,0.14285714285714285
dccuchile/bert-base-spanish-wwm-cased,100,3,0.5987697699333587,0.8957345971563981,0.7672413793103449,0.13333333333333333
dccuchile/bert-base-spanish-wwm-cased,100,4,0.6670267808697,0.9017857142857143,0.7835051546391752,0.3157894736842105
dccuchile/bert-base-spanish-wwm-cased,100,5,0.6118015713551795,0.8459657701711492,0.7227722772277227,0.26666666666666666
dccuchile/bert-base-spanish-wwm-cased,100,6,0.6313855849130205,0.8963963963963965,0.7872340425531915,0.2105263157894737
dccuchile/bert-base-spanish-wwm-cased,100,7,0.6509528785390853,0.8919540229885057,0.7881773399014778,0.27272727272727276
dccuchile/bert-base-spanish-wwm-cased,100,8,0.6399843505477308,0.9,0.7699530516431925,0.25
dccuchile/bert-base-spanish-wwm-cased,100,9,0.6670267808697,0.9017857142857143,0.7835051546391752,0.3157894736842105
