model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
IIC/RigoBERTa-Clinical,42,1,0.5822485096259665,0.8776371308016877,0.7044025157232705,0.16470588235294117
IIC/RigoBERTa-Clinical,42,2,0.5523983641032687,0.8551724137931034,0.7250996015936256,0.07692307692307691
IIC/RigoBERTa-Clinical,42,3,0.6230975421380219,0.8787878787878788,0.7586206896551725,0.2318840579710145
IIC/RigoBERTa-Clinical,42,4,0.6164752911662476,0.8783783783783784,0.7641509433962264,0.20689655172413793
IIC/RigoBERTa-Clinical,42,5,0.6612972419424032,0.8847926267281107,0.7657657657657658,0.3333333333333333
IIC/RigoBERTa-Clinical,42,6,0.6323883471770796,0.8779342723004695,0.7692307692307692,0.25
IIC/RigoBERTa-Clinical,42,7,0.6285951351050382,0.874141876430206,0.7389162561576356,0.27272727272727276
IIC/RigoBERTa-Clinical,42,8,0.6537157145910529,0.8524590163934426,0.7383177570093458,0.3703703703703704
IIC/RigoBERTa-Clinical,42,9,0.6417098026950244,0.8662131519274376,0.7389162561576356,0.32
IIC/RigoBERTa-Clinical,42,10,0.6612972419424032,0.8847926267281107,0.7657657657657658,0.3333333333333333
