model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
PlanTL-GOB-ES/bsc-bio-ehr-es,42,1,0.628600336345862,0.8807339449541285,0.7868852459016394,0.21818181818181817
PlanTL-GOB-ES/bsc-bio-ehr-es,42,2,0.6458851278128387,0.8888888888888888,0.7630522088353413,0.2857142857142857
PlanTL-GOB-ES/bsc-bio-ehr-es,42,3,0.6314950967502165,0.8837209302325582,0.7562189054726367,0.2545454545454546
PlanTL-GOB-ES/bsc-bio-ehr-es,42,4,0.6854837011556301,0.9026548672566371,0.8059701492537314,0.34782608695652173
PlanTL-GOB-ES/bsc-bio-ehr-es,42,5,0.7131309531946904,0.8914549653579678,0.8034934497816595,0.4444444444444444
PlanTL-GOB-ES/bsc-bio-ehr-es,42,6,0.6991792929292929,0.8954545454545455,0.8020833333333334,0.39999999999999997
PlanTL-GOB-ES/bsc-bio-ehr-es,42,7,0.7029682288332603,0.9029345372460496,0.8059701492537314,0.39999999999999997
PlanTL-GOB-ES/bsc-bio-ehr-es,42,8,0.6951304422572743,0.8929384965831435,0.7924528301886794,0.39999999999999997
PlanTL-GOB-ES/bsc-bio-ehr-es,42,9,0.700566448801743,0.8977777777777779,0.8039215686274511,0.39999999999999997
PlanTL-GOB-ES/bsc-bio-ehr-es,42,10,0.7131309531946904,0.8914549653579678,0.8034934497816595,0.4444444444444444
