model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
IIC/BETO_Galen,42,1,0.25434439178515006,0.7630331753554502,0.0,0.0
IIC/BETO_Galen,42,2,0.35996811766832293,0.7965367965367964,0.28336755646817247,0.0
IIC/BETO_Galen,42,3,0.4329743352691246,0.782608695652174,0.4550898203592814,0.06122448979591837
IIC/BETO_Galen,42,4,0.4900001889048109,0.7969543147208122,0.4912280701754386,0.18181818181818185
IIC/BETO_Galen,42,5,0.4691594554608252,0.7990867579908675,0.45454545454545453,0.15384615384615383
IIC/BETO_Galen,42,6,0.47310035261844324,0.7313019390581716,0.5387453874538746,0.1492537313432836
IIC/BETO_Galen,42,7,0.5000326268618952,0.7937915742793792,0.572972972972973,0.13333333333333333
IIC/BETO_Galen,42,8,0.5321725631323154,0.7863247863247863,0.5748987854251011,0.23529411764705882
IIC/BETO_Galen,42,9,0.4837479270315092,0.7412935323383085,0.5432835820895523,0.16666666666666669
IIC/BETO_Galen,42,10,0.5233562166285278,0.8100686498855836,0.6000000000000001,0.16
IIC/BETO_Galen,42,11,0.5317438839575666,0.8143176733780759,0.6559139784946237,0.125
IIC/BETO_Galen,42,12,0.5605918027300932,0.8100686498855836,0.6494845360824741,0.2222222222222222
IIC/BETO_Galen,42,13,0.553650218086451,0.8144796380090498,0.6359447004608295,0.2105263157894737
IIC/BETO_Galen,42,14,0.5503692194437115,0.8216704288939052,0.6476190476190475,0.18181818181818185
IIC/BETO_Galen,42,15,0.5472026604068858,0.8125,0.6291079812206574,0.19999999999999998
IIC/BETO_Galen,42,16,0.5605918027300932,0.8100686498855836,0.6494845360824741,0.2222222222222222
