model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
microsoft/mdeberta-v3-base,2026,1,0.6291431630877488,0.8428571428571429,0.7219917012448133,0.3225806451612903
microsoft/mdeberta-v3-base,2026,2,0.6459546925566343,0.8666666666666667,0.7378640776699028,0.3333333333333333
microsoft/mdeberta-v3-base,2026,3,0.6485554587688734,0.8794642857142857,0.7804878048780488,0.2857142857142857
microsoft/mdeberta-v3-base,2026,4,0.709144247758109,0.8909090909090909,0.792079207920792,0.4444444444444444
microsoft/mdeberta-v3-base,2026,5,0.6218668982922031,0.8777292576419214,0.7525773195876289,0.23529411764705882
microsoft/mdeberta-v3-base,2026,6,0.6719957965118423,0.8771186440677966,0.7817258883248731,0.35714285714285715
microsoft/mdeberta-v3-base,2026,7,0.6775354829819484,0.8771186440677966,0.7804878048780488,0.375
microsoft/mdeberta-v3-base,2026,8,0.6629577382147724,0.8924485125858124,0.7887323943661972,0.30769230769230765
microsoft/mdeberta-v3-base,2026,9,0.709144247758109,0.8909090909090909,0.792079207920792,0.4444444444444444
