model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
BSC-LT/MrBERT-biomed,42,1,0.58644115047007,0.8656036446469249,0.7826086956521738,0.1111111111111111
BSC-LT/MrBERT-biomed,42,2,0.6269810369566061,0.8691588785046729,0.7717842323651453,0.24000000000000005
BSC-LT/MrBERT-biomed,42,3,0.6336893059898606,0.8848758465011286,0.7939698492462312,0.2222222222222222
BSC-LT/MrBERT-biomed,42,4,0.6455321583924002,0.8980477223427332,0.8163265306122448,0.2222222222222222
BSC-LT/MrBERT-biomed,42,5,0.6223115564076662,0.874141876430206,0.7927927927927928,0.19999999999999998
BSC-LT/MrBERT-biomed,42,6,0.6216216216216216,0.9099099099099099,0.8216216216216217,0.13333333333333333
BSC-LT/MrBERT-biomed,42,7,0.6570380085951889,0.9016018306636154,0.8195121951219513,0.25
BSC-LT/MrBERT-biomed,42,8,0.6434427797209753,0.9024943310657596,0.8173076923076924,0.2105263157894737
BSC-LT/MrBERT-biomed,42,9,0.6519351579317313,0.9049773755656108,0.8155339805825242,0.23529411764705882
BSC-LT/MrBERT-biomed,42,10,0.6423442420152947,0.90625,0.8102564102564104,0.2105263157894737
BSC-LT/MrBERT-biomed,42,11,0.6473883892672304,0.9009009009009009,0.8059701492537314,0.23529411764705882
BSC-LT/MrBERT-biomed,42,12,0.6570380085951889,0.9016018306636154,0.8195121951219513,0.25
