model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
microsoft/mdeberta-v3-base,100,1,0.6107934689445706,0.8397565922920892,0.6849315068493151,0.30769230769230765
microsoft/mdeberta-v3-base,100,2,0.5917233191576919,0.8031088082901554,0.6863468634686347,0.2857142857142857
microsoft/mdeberta-v3-base,100,3,0.6155767408843701,0.8726415094339622,0.7922705314009661,0.1818181818181818
microsoft/mdeberta-v3-base,100,4,0.6171164840419431,0.8766519823788546,0.7524752475247525,0.22222222222222227
microsoft/mdeberta-v3-base,100,5,0.6200601036906123,0.8557457212713935,0.7317073170731707,0.27272727272727276
microsoft/mdeberta-v3-base,100,6,0.6510550718498634,0.8787185354691075,0.7887323943661972,0.2857142857142857
microsoft/mdeberta-v3-base,100,7,0.667932696234583,0.8874458874458874,0.7830188679245284,0.3333333333333333
microsoft/mdeberta-v3-base,100,8,0.611093446387564,0.8783783783783784,0.7549019607843137,0.19999999999999998
microsoft/mdeberta-v3-base,100,9,0.5531106339332492,0.8854625550660793,0.7738693467336684,0.0
microsoft/mdeberta-v3-base,100,10,0.6175699493280459,0.8674157303370785,0.7500000000000001,0.23529411764705882
microsoft/mdeberta-v3-base,100,11,0.6485199485199485,0.8693693693693694,0.7428571428571429,0.3333333333333333
microsoft/mdeberta-v3-base,100,12,0.667932696234583,0.8874458874458874,0.7830188679245284,0.3333333333333333
