model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
BSC-LT/MrBERT-es,2026,1,0.5825574721856057,0.8487584650112867,0.6766917293233082,0.2222222222222222
BSC-LT/MrBERT-es,2026,2,0.6024700769369901,0.8531187122736418,0.6815642458100558,0.27272727272727276
BSC-LT/MrBERT-es,2026,3,0.6494423824440408,0.8765432098765432,0.7860696517412936,0.2857142857142857
BSC-LT/MrBERT-es,2026,4,0.6570847991329402,0.8863109048723897,0.7772511848341231,0.30769230769230765
BSC-LT/MrBERT-es,2026,5,0.6510277872170456,0.8868778280542987,0.7934782608695652,0.27272727272727276
BSC-LT/MrBERT-es,2026,6,0.6900428990742831,0.883720930232558,0.7864077669902914,0.4
BSC-LT/MrBERT-es,2026,7,0.6876694655820871,0.891891891891892,0.796116504854369,0.375
BSC-LT/MrBERT-es,2026,8,0.702811503885964,0.8986784140969163,0.8097560975609757,0.4
BSC-LT/MrBERT-es,2026,9,0.6916076774961879,0.9038031319910513,0.7960199004975124,0.375
BSC-LT/MrBERT-es,2026,10,0.6916076774961879,0.9038031319910513,0.7960199004975124,0.375
BSC-LT/MrBERT-es,2026,11,0.6916076774961879,0.9038031319910513,0.7960199004975124,0.375
BSC-LT/MrBERT-es,2026,12,0.6909352049277423,0.9017857142857143,0.7960199004975124,0.375
BSC-LT/MrBERT-es,2026,13,0.702811503885964,0.8986784140969163,0.8097560975609757,0.4
