model,seed,epoch,macro_f1,Premise_f1,Claim_f1,MajorClaim_f1
BSC-LT/MrBERT-es,42,1,0.599532455047956,0.8493150684931506,0.6947368421052631,0.2545454545454546
BSC-LT/MrBERT-es,42,2,0.6448332441590868,0.8764044943820225,0.738095238095238,0.32
BSC-LT/MrBERT-es,42,3,0.6486198760759037,0.8822269807280514,0.7709497206703911,0.29268292682926833
BSC-LT/MrBERT-es,42,4,0.667773923181444,0.8853932584269663,0.8021390374331552,0.3157894736842105
BSC-LT/MrBERT-es,42,5,0.6392910485838598,0.8728813559322034,0.7783251231527094,0.26666666666666666
BSC-LT/MrBERT-es,42,6,0.6365736253795956,0.8869936034115139,0.7727272727272728,0.25
BSC-LT/MrBERT-es,42,7,0.6451141815390521,0.8977777777777779,0.7875647668393781,0.25
BSC-LT/MrBERT-es,42,8,0.637555187637969,0.8918322295805738,0.7708333333333333,0.25
BSC-LT/MrBERT-es,42,9,0.667773923181444,0.8853932584269663,0.8021390374331552,0.3157894736842105
